Address,Allocation %,Type(s),Sum
0x4f2ae05949670c5c59959f2c2da1d4574acdf8b1,0.031492811617%,Staker,
0x14e27302100a769b3821333ea9276d77bb7f8832,0.031419185476%,Staker,
0x7d42bf24f22ed0fb0a0473a504817ac5c44f51fb,0.031353626550%,LPer,
0xf248e3a38bbbfa1a20fc6fcccb0a35af3e51d642,0.031140222205%,Staker,
0xffab14b181409170378471b13ff2bff5be012c64,0.031048137169%,Beamer,
0x437d9c08741bc8b5608a38fc7515b6f406a85330,0.030877971406%,Beamer,
0x22b9a3617a83d92a6977dafeb1d2e0cf3cc8776f,0.030672164344%,Beamer,
0x23f1ab34ec6cbe7fb7f9656bef997f4b4fd38425,0.030668270087%,Staker,
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,0.030580024609%,Staker,
0x26217a5ad6fca84003fb839acb889477c099cae4,0.030390173660%,Beamer,
0xbec97f788cad752c6618a85c9e443dfa23052fb5,0.030239167295%,Beamer,
0x330d96d8a4e54eb2806b82490255721aee8ea1a7,0.029819294033%,Staker,
0x737744cbc9f4ad9507f35f9e38250297fccd36a9,0.029792774631%,Staker,
0x4969592b0c5a6e6827beed275fe644b2ecd3b0f3,0.029744911756%,LPer,
0xd8821cfc043f4c059084359c48db6e2cc293af72,0.029649762984%,Beamer,
0x80a13a52478c0b85881d0c0c99a2d5833f33b07b,0.029576471428%,Staker,
0x9d388a7c45b2fc1d0745e88c9acab6808cc37d98,0.029391991929%,Staker,
0x577BE3eD9A71E1c355f519BBDF5f09Ba2018b1Cc,0.028705549970%,"Staker, Beamer, LPer",
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,0.028474072567%,"Staker, Beamer",
0xa8690dfb2fd8c3cee0dcf08443df05296768f949,0.028343138414%,Beamer,
0xfa473677f0bb7309757d91f13ea12324d6fc1212,0.027331946190%,Staker,
0x6bb971430554e3af58fbd469bce46ab2359a2d23,0.027274513247%,Beamer,
0xea003af125384249239884cd702bce38b9e9c7b9,0.027168903641%,Staker,
0xb2754b61d93c0c0f00b0be4fa7d2012b6cd2b430,0.026787086109%,LPer,
0xa4a146f706820e29c00f63f541193aae0399cfd6,0.026763504891%,LPer,
0x9f6e465b94fc2ccb507d39af953e8a503afb2ddd,0.026442276355%,Staker,
0x9de4de8ddea1740db5b2b3b97c3f1744c4258b15,0.026274141026%,Staker,
0xb8087215327fc4b169feadb1f673980f4a4e8f59,0.025885975380%,"Staker, Beamer, LPer",
0x57a4342ed31c8f53e164ef28b0182620d20290a5,0.025801997061%,Staker,
0xfa3d8b001ccb3363c9d68d9b6c0e269dd45b3068,0.025673080031%,LPer,
0x3d129fdfeea93cb7a29f0b90cd2281dba1ecfc94,0.025574580373%,Staker,
0xe651b64f2c2ad84603a8548b37d0173d417958af,0.025431883536%,LPer,
0x2ef2d6e5d34b5f3b465adfa1b38204dbd274b32a,0.025372687389%,Beamer,
0xd316452072647e50927996a6822612775606e195,0.025205685164%,Staker,
0x821d02ff01054daa7372f6f1549eed27e97f41b5,0.024928598417%,Staker,
0xc26d84a680a5a20c0819cf153125be92696ba35c,0.024784711817%,Beamer,
0xca74be5123cad31344bdcb5611220785569bc223,0.024277889699%,Staker,
0xc35a8e70b0530d2bff51daedbcf752d8dafde91b,0.024086839489%,Staker,
0xda3d8e3ee7a9599cfdf9235bb3dadaa5749ccfc6,0.023907123339%,Staker,
0x416fe07819a6d937eb019003496a8cc91175f119,0.023614188900%,LPer,
0xc2eb3ac87b1daf4ec04c3bae4f784f74970a7b2d,0.023567215182%,Staker,
0xef6f2855fb78e4efebc9dd2b982a95d4c5fde882,0.023565538735%,LPer,
0xfd660518dc1b52d9f67facd42bbba962b06b8e54,0.023276907596%,Staker,
0x68dc0f7ba4efc952b23e6cacfdf11de87b54a909,0.023250697885%,"Staker, LPer",
0xc4b0b2e6288dfdd1d5ec37c49b59a4b003932733,0.023000962910%,Staker,
0xb5d7657b370af68a340407cc46a520287ba12e74,0.022993086858%,Staker,
0xf43257df6b2066c866ceee61218ee1ee50d3be6f,0.022897814090%,Staker,
0x6c951f3ac34015b3b458f6208ef96305fa09c9a5,0.022002845452%,Beamer,
0xc7a9fb7d697cd509b1c228d0d2767150d21d4e0d,0.021832460857%,Staker,
0x6baa0ebc80c2a9cf8cde1d8600aae9eb300b7218,0.021686611582%,LPer,
0xb9542f9e7ab332346c818483bb8f3292a0653ab7,0.021085917841%,Staker,
0x0df1dd9d2591a270bbcfed24e8e2a3f3627a06e5,0.020666081169%,Beamer,
0x1ef1895c1e8bcb2dabe59aa5387ee93255bb0025,0.020531710284%,Staker,
0xc44db89077cf59b2e0d6e9500b178239c0e86d14,0.020449007126%,Staker,
0xc97252f98b7159251d410fe237674dc5bf7465a1,0.020338023946%,"Beamer, LPer",
0x44472ea831a40c6e325e4810ba726dad966afaec,0.019788827499%,LPer,
0xe63ea1e5aa966ef422c625252b9fa5a511681a3f,0.019725683302%,Staker,
0x1af61a61151b0d04fc6d08239c65c7e5abeea23f,0.019512172223%,Staker,
0x11201cdccce239f358dcd779f324981231966879,0.019439572084%,LPer,
0x49294bbde3500bef5f2096a6d0f06a0336152b6f,0.019439572084%,LPer,
0xed418e3a8b2578dc38109352e1109f59e7249fc6,0.019392068658%,Staker,
0x8955c241e091f68c0d0f2fae31a2796181ef6a9b,0.019266676712%,Beamer,
0x35ece33facc6b2a2b2284394fed1870268f95134,0.019249565259%,Staker,
0x3c35337aa6601ad47cbd290ec7463c910781a909,0.019079894189%,Beamer,
0x5bf35b1afcb8c7a2d01ab924c709206196c8ad3c,0.019072896921%,LPer,
0x5dffc4c1234707c7a2e107ac59924e9cb74a6961,0.019041642448%,LPer,
0x5e2f90771e2ce5e7feb831ae4d34e058d02332d7,0.018980598054%,Staker,
0x8c97a4b06e12f87519c2c216c35711651112b824,0.018920821021%,Beamer,
0x792594142ca06a157a2a7396aba0795d130a95b4,0.018679542459%,Staker,
0x65bab4f268286b9005d6053a177948dddc29bad3,0.018659163273%,Beamer,
0x8e100ca591bba6ce8b1d174f14312d3dbc066c3c,0.018550770471%,"Staker, LPer",
0xccf18f11169b2a2d86bd2c047c7ab211f1f2cb11,0.018498422581%,Staker,
0x8ff3ccb88bc6d6d44c471c59ad92c1176c74718b,0.018483984232%,Beamer,
0x1d1a5871a626de9094cc1d560edd9a67612c87a5,0.018428227391%,Beamer,
0x73ec4dcb8b04a621506a1825bbcab3975247a47e,0.018412906266%,Beamer,
0x4ce35cf0f99fd1df68f2fe4915eb7c8327edac03,0.018180070467%,Staker,
0x35475ff8a96bf21d1d56ef4928baa176a0e3862c,0.018062366633%,Staker,
0xba9be4236bf5ee96d569937bdd4fa92f1a568a21,0.018035926420%,Staker,
0xb14d56ce29dade0316ea5df06d491636a7c4f3c8,0.017975115576%,"Beamer, LPer",
0x7a16ff8270133f063aab6c9977183d9e72835428,0.017935735661%,Beamer,
0x8f747d43b6bfe7a1ac2acf63b4d6b255eb3c7383,0.017883705405%,LPer,
0xac207c599e4a07f9a8cc5e9cf49b02e20ab7ba69,0.017772229933%,Staker,
0x192820ce84fa9eb457fb228c386fe0ed22f7e33c,0.017772199618%,LPer,
0x4c024ac209518e689d1fe73134899bf6860edf08,0.017708421385%,Staker,
0x87c36ea040e8f4e5a4c0be426514484567d190db,0.017683587072%,Beamer,
0x7fd21d5426b88e6cd945e761fd95dccca4e56906,0.017556877775%,Staker,
0x3896a7847c6b00f64c9f6d4e4d44964a8501939f,0.017548757345%,Beamer,
0xe155b58e5f12cc9cf6a5556abaebb6563892326c,0.017449391024%,Staker,
0xe72a661ebe759c83284d87b9dd66939d827b9423,0.017435790764%,Staker,
0x420399c3085b996e8bc36024db7a80a5d3338cbe,0.017413253283%,Beamer,
0x524bc4f914f91923b1507ea8e4c6ca4d5ec80dc1,0.017327933206%,Beamer,
0xc1d90c0a2d1ab8b58702f2faea4701f00ac505d0,0.017322074736%,Staker,
0x432e962e06a8194e13e793b40412441039ea89bf,0.017256549936%,Staker,
0xd38a824c75b5af696ddef83f25e1a93d084ed9ab,0.017039708315%,Staker,
0x514c4ba193c698100ddc998f17f24bdf59c7b6fb,0.016832270606%,Beamer,
0x94c24723ec97df2ef960956d7965aef1b989e394,0.016705583503%,Staker,
0x9814bdc3cbe12dc025b2f30fbef932aa3e1c8559,0.016606651189%,Staker,
0xdb611d682cb1ad72fcbacd944a8a6e2606a6d158,0.016453190130%,"Beamer, LPer",
0x407780eb70e53ec88c1fb0b40d7192fc757ac5c2,0.016312335528%,LPer,
0x243387a7036bfcb09f9bf4eced1e60765d31aa70,0.016310534845%,Staker,
0x88a73ddfddf424ce1a503782b1b35f5e9e5e980d,0.016268534427%,Staker,
