Address,Allocation %,Type,Sum,,,
0x9a87fa7ce625d0bf7bd923955b831805cb329bbc,0.04%,User,,,,
0x4f717fea71e014d756cfa07177d95fd750465e82,0.04%,User,,,,
0xfa5821b238d98fdde185fb7f830b5c94318eb346,0.04%,User,,,,
0x011092475af86fff3d3497ddc06d6148a927f01a,0.04%,User,,,,
0x90bd818ca73bd410d93c0b8b9370e708d68b09a1,0.04%,User,,,,
0x29e294fa813918b5be9ad181760790536fd024d6,0.03%,User,,,,
0x990c49a35058883205c856e5a4d23658e0403cad,0.03%,User,,,,
0x7806c2745f8995cb1f6472f353d0b2d19147a6d2,0.03%,User,,,,
0x4564d6d107a19d3ab3d734a7bae61eb63dc3d30f,0.03%,User,,,,
0xe0654abc5fb4917ac59237f8b9f75316982cf0bf,0.03%,User,,,,
0x786f1476582fa1aa66bbb7a64e77ee677d75990d,0.03%,User,,,,
0x9a72deaf6089d0664a7712fd16e26522bbecc7da,0.03%,User,,,,
0xbcb03d9452118c431bc1202cf1d8af0cfc6368f9,0.03%,User,,,,
0x74ff1c26291e9849b2708847a11f737b4a421e83,0.03%,User,,,,
0x79632ce537c16a3395ce330dc037ae09e08b0f18,0.03%,User,,,,
0x656c651c47c470289aa4e2eb9facc6b9ef6d9509,0.03%,User,,,,
0x7e01f82d474c720ee694eb1bb4ff0229b580338c,0.03%,User,,,,
0xf63155a644e3dabf7a59a12ba4799c065ed7381d,0.03%,User,,,,
0x44bfeb943fece46d5c4e79781930f9b833baa3a8,0.03%,User,,,,
0x13f210c8baf5f5dbaff3e917e2e5a49e73bbaf12,0.03%,User,,,,
0x9f09d9ba9d2813a12b358b4462358a56a877446f,0.03%,User,,,,
0xbfe24b4d8b1e421ca8794f6416946db505d6dbd7,0.03%,User,,,,
0xdee517bfc5db0122e56ffdd605286f87b81b83de,0.03%,User,,,,
0x9e37af1c6d3a14d0da1259726ef6fe774058eba1,0.03%,User,,,,
0x9ba8248d1f9789607ce1b58293677b390774313b,0.03%,User,,,,
0xbfe4891e8df6a676148ec550be6d72c2950b655b,0.03%,User,,,,
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0.03%,User,,,,
0x3aaa31aa2fba1d1dbbc3a7f6e59b4a5b6fd5a607,0.03%,User,,,,
0x7be34d48fa5b65f192c912668dfa592876103f5b,0.03%,User,,,,
0x50f3ce0bfd94d3b7c112bba5d51e9a0e84ba20f0,0.03%,User,,,,
0x3470bc0a155e7b98cec9ea982b3c224a038fc4a9,0.02%,User,,,,
0xe70c79107bb5938298dc703653da5e3c4e9f7beb,0.02%,User,,,,
0x9d5695e7a6736b81f465e053bcf734b1816356bd,0.02%,User,,,,
0xa6a2ad1320cec227f24f404fccc120b71b41757d,0.02%,User,,,,
0xb3a24d1a0816836b0e094599ff835775edc7ff78,0.02%,User,,,,
0x3bd0623bd490b8bdb7e6e0f54a09b84f39389d63,0.02%,User,,,,
0x39e800942478d590f819db7f21c1a1727e1019c2,0.02%,User,,,,
0x1c3d9432765dd7d8865a9fef866053f1ffcdb546,0.02%,User,,,,
0xe8a4900bf1f3e498d6069f96158bcc132dbb7b44,0.02%,User,,,,
0x64fb85a18988552473327f389f14e10518758ce9,0.02%,User,,,,
0xa9fc6b72c9847d6990777a42a7df2c57fb08d869,0.02%,User,,,,
0x185d7273b630403b8204c10c911c54e90014ff26,0.02%,User,,,,
0xdf93a8253ca2fabdb8d1b5c19fc372f3f9a49284,0.02%,User,,,,
0xf8ba07c9bdb1165f348a7e20c20aa670088c2984,0.02%,User,,,,
0xbf4ea3863f29de431ddc83d66abe16beb63b5016,0.02%,User,,,,
0x294ad3bfda6832e83f51bda2a12a0e925d3dfbc7,0.02%,User,,,,
0xbe0f5502af2d96bff8cfc4441418c3a863de2bad,0.02%,User,,,,
0x3bd0623bd490b8bdb7e6e0f54a09b84f39389d63,0.02%,User,,,,
0x579218a63057ca4974e72164253d62dd83c84e49,0.02%,User,,,,
0x86735c571c6cbee0535301e91fb1e741e79e13e0,0.02%,User,,,,
0xbea7622cd1dc23b97c4ec44fdd1afa9f1eeffaef,0.02%,User,,,,
0x7c293364f42425add2cf2ae1450ea36075076e0a,0.02%,User,,,,
0x2e945441a061fa5bfb52a66654332dc62a48bb12,0.02%,User,,,,
0xFF93c3662B447Ec4577B51b08C6689A5518417D9,0.02%,User,,,,
0x0e662567ed3e0d9494a5bd10f69a1db7dcab6116,0.02%,User,,,,
0x5b919da7b1b7b45f84cb3e1b4b77987701ec5037,0.02%,User,,,,
0xe958f5388c44ce1fbaa16c1c6ae9dba98fcf59e4,0.02%,User,,,,
0xb149d3a6f895b87353a8e6f41cc424c5e517390d,0.02%,User,,,,
0x9c9a0a21d13a50b28188f8831125c0716386f227,0.02%,User,,,,
0xa0d795bc676d891b683901b2591a8c6a3004edaa,0.02%,User,,,,
0xdee517bfc5db0122e56ffdd605286f87b81b83de,0.02%,User,,,,
