Address,Allocation,Type,
0xF8C014BCadEa128BC505cf9883E1D31bcCA3895B,0.03105330817904070%,>100xp-user,
0x11d24a11b35407953b44b8119bBb9041312dfa4b,0.03105330817904070%,>100xp-user,
0x26D72a4E13ef4F1491DCfFb41B9E92b8F0157b5a,0.03105330817904070%,>100xp-user,
0x21383E05Df94A7adB53713D28905e159a6332EBb,0.03105330817904070%,>100xp-user,
0xB94d48FEd4A655d3b16AFCec1C678937752E4196,0.03105330817904070%,>100xp-user,
0xE3D239e6ed29BDE5dcd9bc9B9a82D97E5F0F4a3E,0.03105330817904070%,>100xp-user,
0xbe989823d8922DdE905aD716B56779d294dEC3aE,0.03105330817904070%,>100xp-user,
0xD4d9b3bFB906B06a1F0e0DBD8E2cc4bBE77599F3,0.03005158856036200%,>100xp-user,
0xdFDEEDB758E83805750aB214Fc17bbFdfDf59132,0.03005158856036200%,>100xp-user,
0xcda22e651433fd630A5d5a74AF83F3F483b740FC,0.03005158856036200%,>100xp-user,
0xC6fa80C553145c3a1Ee5325bcB5d4652403a8E8D,0.03005158856036200%,>100xp-user,
0xf09310b47cC796Ad7f5c8eA8cf2DEf2188178FA8,0.03005158856036200%,>100xp-user,
0xd658b61fA88243558FBFD91e6d96698461Ca0A57,0.03005158856036200%,>100xp-user,
0xe4AFebdF16A42C2B5725c007F1253a9b00C9439a,0.03005158856036200%,>100xp-user,
0xD8cEDF9883e550dCa0f95c8EdBE39d7B99aAE476,0.03005158856036200%,>100xp-user,
0xe4eB49a5D3D3E82e241226364833A14E84A97D5d,0.03005158856036200%,>100xp-user,
0xBAdCbe6dDB24cCDcd1E4A38850FEA4d5C311BC09,0.03005158856036200%,>100xp-user,
0xd2194fc23E3fAFFBa18f9af3E1a603A4CAe6471A,0.03005158856036200%,>100xp-user,
0xdF3dbfA63a2e23c727ffA094cE8cd3E8dA3D9E95,0.03005158856036200%,>100xp-user,
0xBF062f89BdBac9A19a4207723Ffe51B46fc0A2Fe,0.03005158856036200%,>100xp-user,
0xeD51A8b9390A0Efc9EEb0c251a75789f3C5Dd54a,0.03005158856036200%,>100xp-user,
0xD7987c20B0eDF412c983c64688F7d1460e103E7a,0.03005158856036200%,>100xp-user,
0xc0C103cB0fbE2235B5CF4994f174245AaA181B77,0.03005158856036200%,>100xp-user,
0xf15daCd5cCD3d8c670aEF034A5daB9F00fA828d5,0.03005158856036200%,>100xp-user,
0xc2c1e8b33394E0F526Cd8aAb9666734B92471e83,0.03005158856036200%,>100xp-user,
0xC558b5E3E92dD023B033D03a09886aF3Eb2cEC3A,0.03005158856036200%,>100xp-user,
0xBBBa32dA189d4c6Ecc78b9a98dF7F02f9564B228,0.03005158856036200%,>100xp-user,
0xfE89EB857E0409EAe031D9876B70C712628FedC8,0.03005158856036200%,>100xp-user,
0xf76B17d16d546cF5caf2aB8dEF315ceA8B0d61D4,0.03005158856036200%,>100xp-user,
0xfFcac5a1361f3D0bE8Daf1CdF1fF645bf13c8085,0.03005158856036200%,>100xp-user,
0xf6e82FD7323c6EDDce41D8180cB0F2277a6925f2,0.03005158856036200%,>100xp-user,
0xf7d837455bCF993A135247B51785888e42960f89,0.03005158856036200%,>100xp-user,
0xF4787B62F2d94aCd48735b580A25d012Acd65C7b,0.03005158856036200%,>100xp-user,
0xa8006C1B49e1CD7f0bED393Ed44dbC6362c8A237,0.03005158856036200%,>100xp-user,
0x9Ee0A100f335a54e50651F4251f26Ba4b1F4043a,0.03005158856036200%,>100xp-user,
0x8038d1a49746Fb6F44deb7F312cFAD01d29Cd588,0.03005158856036200%,>100xp-user,
0x7FA7f4DEedc9fE900b501Bff1ad4cDC679Df5249,0.03005158856036200%,>100xp-user,
0xA2ED41B716453125E8eBbaE5671DCC9f591dBC72,0.03005158856036200%,>100xp-user,
0x9dc4A407F7DCe8B8CDCa1Ae9D2d57998775Ed1CC,0.03005158856036200%,>100xp-user,
0x873EecBbe6DC518af9F3727480fadA2a717370f6,0.03005158856036200%,>100xp-user,
0xb074b0576EFf98aF5041da73E43bFD6c3aba79Cd,0.03005158856036200%,>100xp-user,
0xB3677F6f3D2F529824a021db5D94B61ebBCE8563,0.03005158856036200%,>100xp-user,
0x9f93830577b85759F169A6a136C159b30228e689,0.03005158856036200%,>100xp-user,
0x7e1ddCF17EE643CBEa5e89817e18ec62DBab2998,0.03005158856036200%,>100xp-user,
0x9f476eD92B9879a2d5436aF1c652d7f7D2F93E4A,0.03005158856036200%,>100xp-user,
0x8966f9c3e871755EDe308cD6Ecc4a26A2D1A463a,0.03005158856036200%,>100xp-user,
0xA285b4306981E84aA33C89A3c4C52c40CD6990a2,0.03005158856036200%,>100xp-user,
0xA2d9d10aceCE8512a99A3048C88fa274Ba59E2CF,0.03005158856036200%,>100xp-user,
0x84c69cF12513A64E977FE2c73f8307B3F0396907,0.03005158856036200%,>100xp-user,
0xb58c8A1bFB6e88f80f8A0a1d743325793b1CeF2A,0.03005158856036200%,>100xp-user,
0xa4d1d07b496D1239aC5A3eA76AfBf74eFa2bAF6F,0.03005158856036200%,>100xp-user,
0xaB1a6C23Cd8E75f37C21EC25B972472f7926c02F,0.03005158856036200%,>100xp-user,
0x7764Af41F854A7A6365669FEbbf59236aa38e15b,0.03005158856036200%,>100xp-user,
0x45C5ba08C16F89491e8e7570CA00008359727345,0.03005158856036200%,>100xp-user,
0x6a01559932Df608d36dc9bc1E54cB88A1354AED4,0.03005158856036200%,>100xp-user,
0x69c9536b796E37F65369Fc1199C974355Ed76675,0.03005158856036200%,>100xp-user,
0x6Ed5a6Faca0e437fe922A4D58F916C1C41672bda,0.03005158856036200%,>100xp-user,
0x59a16e1183D511C8E98Fb85B645230cd9Ce547e5,0.03005158856036200%,>100xp-user,
0x5A8BC2B15b6C2348fDCC415832Ef2b8C85c0C063,0.03005158856036200%,>100xp-user,
0x65a099Bc8c113A9DBc39e48Fd68913A6812187A9,0.03005158856036200%,>100xp-user,
0x5F3B8354f164b1b3A841Bd12d8f8c70C6C45235C,0.03005158856036200%,>100xp-user,
0x6d53ca75e761713e7846aaf06ee744d8cAda9Afc,0.03005158856036200%,>100xp-user,
0x60079116Fe6cCc7e62D59D022e862ec5A1A2ECB2,0.03005158856036200%,>100xp-user,
0x60df6BED1B7660e7875671fBC728455118ea2952,0.03005158856036200%,>100xp-user,
0x71234E3383f7dF6a5bFE89719ff4caFBeE87F630,0.03005158856036200%,>100xp-user,
0x611eE827C900e87a01210E262AA5D509857ffc6f,0.03005158856036200%,>100xp-user,
0x56d26D444BBB2bD45C0Fa1B12ed1f8aa469d07b0,0.03005158856036200%,>100xp-user,
0x6194a014a6C76a6Bd51E4DB8ECFB6189c6986461,0.03005158856036200%,>100xp-user,
0x761f06FBc3CBd457Dd832C18A8E52F6B8da88c16,0.03005158856036200%,>100xp-user,
0x61e67FE6D159F276aEe0123cCD5dd3Bc6e02DFae,0.03005158856036200%,>100xp-user,
0x2c870FD81137252c3EC6C252D3f777770252ADd5,0.03005158856036200%,>100xp-user,
0x034b0bf90533C589611Fb65E6aC1aBE53e0aE002,0.03005158856036200%,>100xp-user,
0x2A2dcbb30b5869AE11321CE038F729644d6A5709,0.03005158856036200%,>100xp-user,
0x3448Ec9c424F18c32A4D03E0DC22f87e58700483,0.03005158856036200%,>100xp-user,
0x189553bADb919A23592bCf5a58B6AC1879407514,0.03005158856036200%,>100xp-user,
0x278A23452794599B183e470329265204255F7e79,0.03005158856036200%,>100xp-user,
0x19FE46b5508176b6039732bBefd034BFA93aC16A,0.03005158856036200%,>100xp-user,
0x27B6aA24D14ea92c7dEcaf747bF44f54CBC5630B,0.03005158856036200%,>100xp-user,
0x092e4910979AB6165cE192b899640176537c4B43,0.03005158856036200%,>100xp-user,
0x0b89d72ba572b1389C444583F6dB62a36Af0029c,0.03005158856036200%,>100xp-user,
