Address,Allocation,Type,Sum Check
0x7a450d96a614f4efbf4c48c569bae6d4f727cffc,0.1099%,Token Holder,
0x4b8fbf487336b970b38bccc4989ed2ed0430f518,0.1099%,Token Holder,
0x5ab85c90bee2cba351277b879834e30abaed95cb,0.1099%,Token Holder,
0x1cadb0be87135dcb1ab71b8ce6931c5db5811c8a,0.1099%,Token Holder,
0xa28054babb9467a477fb955a38cc41bfb0d60ff1,0.1099%,Token Holder,
0x61a8f6f850bcafcd43303d2c7e4b2b294b793b74,0.1099%,Token Holder,
0xef24f3eefbd25a2a443ddaeeac1d62136b16cd0d,0.1099%,Token Holder,
0xe2918091b29713d3e2e5d7c00d2aa86601d8cd27,0.1099%,Token Holder,
0x96625d7d3cc17628cb6b500304af7a7351f687b1,0.1099%,Token Holder,
0x9d0b51b04b681b9dcab0ae0958dc99f5ac83d5ea,0.1099%,Token Holder,
0xb5f677209440b44ac268bf832640f0df23091394,0.1099%,Token Holder,
0x9631fadc7d5843eb8071fcb3e84087fafa47794f,0.1099%,Token Holder,
0x9f64ba4c719146cbffb3a3b419c68847f0e9c344,0.1099%,Token Holder,
0x3c88fd0e77eabf9e016cce5affb93f9d4a010cc6,0.1099%,Token Holder,
0x84008dae39d8101857d4142bc2c15ef716d6f42d,0.1099%,Token Holder,
0xb6f52520235fda99d8c7387ac35e6956f5c4c0a3,0.1099%,Token Holder,
0x1615b5e85c2cc9c2d748987c1ef3f4185ed2150d,0.1099%,Token Holder,
0xc34b28bf9128b1c4f7dc28ce2c7b820467751964,0.1099%,Token Holder,
0xf6a2932734812b550e072fa2cef70fd801455445,0.1099%,Token Holder,
0x2856a69ed0410c65d1bfe6fe5054dd2468f53f62,0.1099%,Token Holder,
0xfc67be985610f63a9c814833a3aa38eb34e49626,0.1099%,Token Holder,
0xc02bfc8c96477d82ae78d3212b802c4bfc820f90,0.1099%,Token Holder,
0x5dca7bad26550b04a2d6911ba64bb7e7bdd67787,0.1099%,Token Holder,
0x1a3bfac5416cd52f5b790348503c5025d626e36b,0.1099%,Token Holder,
0xa21c069bda9681f52ebc741435d8f87791e1a153,0.1099%,Token Holder,
0xb699ab999bf2327aa058437dd7684cf719d7a533,0.1099%,Token Holder,
0xba89900c071a2015e49ab7e5c5c523b8a456cd2b,0.1099%,Token Holder,
0xe53f8cc868dc2e0fb1da5bd1b5e6404600a6de22,0.1099%,Token Holder,
0x6bd89a4d478c424198da0ca5ab801d07e48dc3af,0.1099%,Token Holder,
0x775d29aacbc86c87b04f51034c58c1da2ba081e1,0.1099%,Token Holder,
0x9831485669c394b4060097ec56ee79e27682eae5,0.1099%,Token Holder,
0x000077ecaf32c49b2c2d310a21d6c04f179b4ddc,0.1099%,Token Holder,
0x60eb7ed45a41efa664f4544798536b2bd04a6ce8,0.1099%,Token Holder,
0x9a4cb63e919adb3132c5576048ad40ad341171a9,0.1099%,Token Holder,
0xca4a31c7ebcb126c60fab495a4d7b545422f3aaf,0.1099%,Token Holder,
0x4e7a734a28b5a181e35c28dc43c8494b591d4b55,0.1099%,Token Holder,
0xc003a40426eef40e2e39d96e58000d4765b96d5f,0.1099%,Token Holder,
0xc55dc0e0eda10a22a44cf423123b3cd5b28b3c61,0.1099%,Token Holder,
0x989e6f7b443caad1aa1a9575df66ecc7bc4941bf,0.1099%,Token Holder,
0x848822693c5294c03370c0e53129ffed19fdcb35,0.1099%,Token Holder,
0x33be94e6183b3f7fe8f17ef88b49713ff43f8e80,0.1099%,Token Holder,
0xb87882df978df562784b6d1f12390252e1c2099b,0.1099%,Token Holder,
0xa5dad9843a44d7100a28d9ce4089d9ca102b31a5,0.1099%,Token Holder,
0xdcf146ab444bb64f75ad8c13cd130f4723ca30f1,0.1099%,Token Holder,
0x67edbc9ae67dc41806d997b0f4887430f7614f06,0.1099%,Token Holder,
0xc1cb7ef079b77d3a509c585d8255e35af449e44a,0.1099%,Token Holder,
0x9fc991b028bac48008129475eca21cdd09f9bdac,0.1099%,Token Holder,
0x9b9970107af5f21fd55701da2688317ce409705f,0.1099%,Token Holder,
0x599f47a34fcd74c056072dd6cc1762bd168f1435,0.1099%,Token Holder,
0x3e8734ec146c981e3ed1f6b582d447dde701d90c,0.1099%,Token Holder,
0xd12f09752605385b01bc48fb67581dac8f4dd827,0.1099%,Token Holder,
0x1d306b9f342902f52cac349255c3bcc5bd3ed168,0.1099%,Token Holder,
0xb5421f5566733da9429c22ff808b71a9990732ea,0.1099%,Token Holder,
0x2dae14df2b09980d18e937166b427819b9e2ac0c,0.1099%,Token Holder,
0x9539b9e9253136f7a7ebdeb32fc51393ebc3a0a8,0.1099%,Token Holder,
0x4cd35473b99125ec4a028081cec28aa2eb5eef84,0.1099%,Token Holder,
0x0ff0c31a1e2f34d2d1a49cc8c218d77ad8c624d4,0.1099%,Token Holder,
0x5f8fa70df586c67e51fae4a1a0cbabd7335f69b8,0.1099%,Token Holder,
0xbb68e205582f2a055ece804c38af7bab1dd27d75,0.1099%,Token Holder,
0x0282ba1f1c7e3de73ad4c09b8ffe86749a5ac062,0.1099%,Token Holder,
0x0476d8c1a93064d7ec642798c8259d7bc0ea40d3,0.1099%,Token Holder,
0x4e5bc96a7c2fbae37166693144a01a07c48146b2,0.1099%,Token Holder,
0xa267f3a4a92531f47811e05e890e977a0fe375b4,0.1099%,Token Holder,
0xee850a699643ab65eaba61ae1d57d1057edaaaf0,0.1099%,Token Holder,
0x0e488e63d43239957a8f924c5f82eea3fd02b6b2,0.1099%,Token Holder,
0x0ddf33d60f269be3841fb7e66f932015191bd98c,0.1099%,Token Holder,
0x1166974dcc0f2429de00bd013e6c6a585bd47949,0.1099%,Token Holder,
0xe95ce83bf204ac31ba83ae07faddac1039668a97,0.1099%,Token Holder,
0x22f29afed5714156812ecc73491d3f69f3e120f6,0.1099%,Token Holder,
0xa42e844f53911a435913f759e44454092c707af6,0.1099%,Token Holder,
0xcb36fd9bf9e6be4bb1af8e47dbf1f0e120f08435,0.1099%,Token Holder,
0x70359b0d95c8f41c52c59fb1dba6da81fbc8009f,0.1099%,Token Holder,
0x9ade5fb80a8a6bce05ebd6240eae9cabc2e54a43,0.1099%,Token Holder,
0x866c46f9987b3c7663e080f9941f5fb955ac6ebe,0.1099%,Token Holder,
0xcdc3412c3ccd8fed81e4527e19e54779c80ae5ce,0.1099%,Token Holder,
0x2ca14d562bf1ac82e2f385da35e7fc681954ac41,0.1099%,Token Holder,
0x92fb858180d205554376f392f45cb48bcbd90625,0.1099%,Token Holder,
0x0b066c2a2b699823a07ad1ad00ae39bee09e15d7,0.1099%,Token Holder,
0xdff48ee6b71fd8c1f3b788c4f1eab425a37d3562,0.1099%,Token Holder,
0xdc4677fd3a310af854a871ccfb03c56885827d89,0.1099%,Token Holder,
0x36bc1e82857bffdf18ca50627e91f907d9cac10b,0.1099%,Token Holder,
0xe614aeb76c490944e9aa6c81b74e41aae5e24f78,0.1099%,Token Holder,
0x0c26c39988e3dd8d5b1f932878d4eff962b8e60a,0.1099%,Token Holder,
0xfe10287fafdaf98df32e7ec137067ef03b3be862,0.1099%,Token Holder,
0xe92f9a1f7a2d52b4f11b2af3f6897bb647a14303,0.1099%,Token Holder,
0x369eb9ea6d62bbd3689be0a9ca3eef1da4cd019f,0.1099%,Token Holder,
0xd4d21940619007ba171fd8b61aa67baf8c3a7756,0.1099%,Token Holder,
0xd1d78a341fa6c7a52d9a2ff0861ac09e4f00c663,0.1099%,Token Holder,
0xf07f78e03eb9cf5e32654bb92b1f4ae2b67bbe3b,0.1099%,Token Holder,
0xb9e8e3135b87a55e25febc411d2450ea63476bc6,0.1099%,Token Holder,
0xf47b398874262a3d23ea12c739b4b72101eaff83,0.1099%,Token Holder,
0x5e45e36e52712862c15b93957b3963ffb48066b1,0.1099%,Token Holder,
0xe322f916f8de00e1df2a5682df53a06e0dccdf18,0.1099%,Token Holder,
0xd58dcd4594087c2758717a59f44a5ac09db65105,0.1099%,Token Holder,
0x88274e72e73a40d319d9d7b425796542f726cb60,0.1099%,Token Holder,
0x89932cd2453656d7c799b316e56d38c0a93f7d7d,0.1099%,Token Holder,
0x3f097381b6140013aca07243ccbc5fafd9e285d2,0.1099%,Token Holder,
0x45e1a9a299d32fc17aa8a6e4f8830fecdff997c4,0.1099%,Token Holder,
0x1dbe16578ae6f45aa0955e0314568630bfc63d6f,0.1099%,Token Holder,
0x3489f448990c35e2b1dd01123165e45bb6de63d5,0.1099%,Token Holder,
0xc643fd3bfc51c12d206ff7676220278c7f669a6c,0.1099%,Token Holder,
0x0a8f0701df139bb1076a2a7391bb0e9d9f585237,0.1099%,Token Holder,
0x180615b5f71c9acb64fdef02a461b04ac28af8c4,0.1099%,Token Holder,
0x9bc746adc822e3f10f4f3aa07d450e9e1d34998e,0.1099%,Token Holder,
0xcdfc575f5b9d4d0ca3a63ef1f09011942947312e,0.1099%,Token Holder,
0x604aaa4f47b9a6798a0143fe89401ed3da9b0056,0.1099%,Token Holder,
0x0c86262354095fa35a21b58af3e0dd94d0ba767c,0.1099%,Token Holder,
0x67f67e598a378bed54728fe9833c7311556e3a03,0.1099%,Token Holder,
0x749f90c2f42f7184a018ce3743c413bfe4f316ac,0.1099%,Token Holder,
0x4136d88e3d5bc794eece921f9c8855220be9d615,0.1099%,Token Holder,
0x983409ac03b6b5dfd45f895579251aae370ba1d3,0.1099%,Token Holder,
0xb2c33dfdf47f19e9fe4190d0f7b6a01f33f083be,0.1099%,Token Holder,
0xee4c0634dcc7de8d4c5557ef3cff673edfc01f5d,0.1099%,Token Holder,
