Address,Allocation % ,Type ,SumCheck 
0x6cc87C563694ce0c9eCc525d9acAB7e4e279903C,0.090252929805722200%,staker,
0x98d142a1039Ff6384bbc07c6231708E14B24A96d,0.090036136219384300%,staker,
0xe6bBDab9A9bDd3138A50Ef58c7388FDe63F9b142,0.089837299356064700%,staker,
0x04f0379E5f38511DA79C58d0B203E3e6EC9B51B7,0.089285084207481100%,staker,
0xc4be77187FB0eE4A6AD12fd4eA56A6865aa048FE,0.089202020045846300%,staker,
0x7CE2E352b8f4fbD5198BC8B83daf7228fc460C5C,0.089043240004116000%,staker,
0xb232AD656FBd3DEDa21F8ae177E17F416294118A,0.088788302260644400%,staker,
0xca69acc9D3CbC5eA252AAb92845f04977646a1fa,0.088311421725697400%,staker,
0xFAF5338ddA9442FdF0780f6f316472B23cf4e568,0.088152767165301800%,staker,
0x505Df016caFf2ADa70eC1BbCE8141FAD5814c366,0.087453491121157100%,staker,
0xd3abd3DA0e94a47794C14b5CB8C103900c18f601,0.086735575504331300%,staker,
0x8C84685d4D5Eff271279d0Daea7683e23e0CB30D,0.085907039245685500%,staker,
0x51F0e67a9e6859aE39d75e36E59e00c5FDD7710C,0.084210269770452800%,staker,
0x8c7Bd908C37A33747bB2Ff3eD3DadFa22A0bE744,0.083035196976856800%,staker,
0x4ef9c75a12da29C09C1f0F0Be76559F7ee6Aa256,0.082179082533221600%,staker,
0x978906140c35A33F4221Fc6d3eB13Eac35FE6322,0.082089520686125200%,staker,
0x3708670Fd1aD785C74dd25eF34AA732182008D92,0.081613084726508000%,staker,
0xca3459c85009D657393717D7E0072A42f0C69733,0.081474795486292500%,staker,
0x982652447F2bA11E33558AD53BDa7fb38f33b520,0.080770427126946000%,staker,
0x16b7A1Fcb55a92cE59E84592dae69306aF760B8d,0.080760138611841000%,staker,
0x05555B1A39D6545b2483eB29805Ad8b00369972B,0.080126006115425100%,staker,
0xb039a63093db7e9A1EDf7E55756f1C2d1D5FFcd9,0.079967358352599800%,staker,
0x9718728Fed90860524d2eF4E6d038714FF319428,0.079666251509511500%,staker,
0xF4a53b6Bb9e4ec51E7831E0d7A06D5D404391824,0.078636075466626100%,staker,
0x20B19B4876E6A756327c3c0a92D4192E3102ed6c,0.078515524569398300%,staker,
0x6EA3Ad088f3Ee8EFAE63CCcC7F0De47Fad4138c2,0.077998530054713000%,staker,
0xb64A4ff69b3097F9284eCbE43b5026A84210f1ef,0.077462003600132900%,staker,
0x40300A155401bF69F7BCf8710aF6717523EFdB26,0.077221814253897400%,staker,
0xa986541845E0FC42dE11CBc25f25Ba708bBf70e7,0.076850180002118500%,staker,
0x4D515716cE0aDF152Cec44bc8c53952F1fCF10BD,0.076263308372528400%,staker,
0x4382E9FEE6222922541661fbc54BC4a670e64cbC,0.075667202818334300%,staker,
0x89BEDbCbC79Cf312EAd2cc3ce96f0Ec4a8Ba8b7C,0.075664973896047600%,staker,
0xA2140A88Fc70978101529e8eB704e96B09f8Ba44,0.075646095908375200%,staker,
0x26B031D97356e73a9016B85D6165E3C9DaFdBe84,0.075467736663804300%,staker,
0xAE0f77C239f72da36d4dA20a4bBdaAe4Ca48e03F,0.075198497489612600%,staker,
0x976B5980e724A50532F9e485d2033E29Ed3F0e58,0.075070112416410100%,staker,
0xB40F2d6D51e8714e07515C3939a36F98B04da148,0.074316750716622900%,staker,
0xfd26c4F4d498B13fc3f4b1F9D098B0320c0CAdEB,0.074192191932861800%,staker,
0xC2D5506be121256874E52B05FeAb2915912290F3,0.074075897908745500%,staker,
0xf5Fc8466B3f382A34133949BCEF3FcaAe2eBB72B,0.073814102418978100%,staker,
0xa554AB2c38C1Aa82281e6627Ff3D2EA5a08adbB0,0.073533520507999300%,staker,
0x209081deDbB6B3E8275a61F86b8E1d12B9f79013,0.073505530920208000%,staker,
0x651EDc6943B83287991dE6506805B272FcB74f68,0.073411512162973200%,staker,
0x348f2bB06545955c140d9FcE7FDA4dA9AA6AfdE3,0.073140171710840000%,staker,
0xf57d2B61068fA45CBd49cD9bAE942A78FA5f0dd5,0.072961133228136700%,staker,
0x9BEe4284B1Fb02EEa26ef1058AD6A1D162aDd1CA,0.072172511585450400%,staker,
0xB3fa2Ecbe6a3b008DE12852D96322C355674532d,0.071828300910099900%,staker,
0x596883F5C571F38cacf61233CaE55aeC5Ea6c3B1,0.071521986645723600%,staker,
0xaf683d464f83C7ADfD9c0DA4EA3f5c15Da237B82,0.071287210545958400%,staker,
0xc1653126199916D233A1F77C1CeE38292A72EB24,0.068743321599810900%,staker,
0x6Fa202a73502007186e41a067901CAc3dAb263Ca,0.068531071074567000%,staker,
0x33DF8400B73136c3eD3D658a4384353f5d903Eab,0.068371147843863000%,staker,
