User Address,RFP Allocation,User Type
0x5dcbec257b505f40d454dfee83b747021146d8ed,0.039276865631016900%,General Depositor/Borrower/Protocol User
0x809ec84644d4cc0ae27dba154b6acfa8ffe0cbb7,0.039137205528268300%,General Depositor/Borrower/Protocol User
0x855b77fc563bb5a2c062b9ad3bdf7984883ee8b8,0.027829794324036900%,General Depositor/Borrower/Protocol User
0x81e3c9ded64caf37ee5ffd643637e1a97cd64f5f,0.024055520114229200%,General Depositor/Borrower/Protocol User
0x4688b6f3c384c3cffe95c92f599213de4a9fa9ca,0.031263422025241200%,General Depositor/Borrower/Protocol User
0xbe905f486a5afc311eef5cca184fab073c3978fc,0.031214564802123000%,General Depositor/Borrower/Protocol User
0xc7d36f9145dbe07faffe092a7e9543306c77ce71,0.068055424852423700%,General Depositor/Borrower/Protocol User
0xd76f24579aedb2321d1c9ec37f0afe2b42f6790c,0.030901176212853300%,General Depositor/Borrower/Protocol User
0x09db2dfe579b22b814df7200d8c416a3a7bb75c8,0.027062719755973500%,General Depositor/Borrower/Protocol User
0x823be23f5a90bb629d30bb0ecc8777b4c15b6f17,0.041771069295820000%,General Depositor/Borrower/Protocol User
0x3bc1158e5bce8c10e5da0edfbb94b261eec46a76,0.056360443207025400%,General Depositor/Borrower/Protocol User
0xde6f20060793ff13c207dc19c8f069add2f4107f,0.041473122568878000%,General Depositor/Borrower/Protocol User
0x24fbd8649131ac8c101df2db6f9b97fe1ee09f61,0.052546465528257200%,General Depositor/Borrower/Protocol User
0x3fae831e4dd61736a6fde60b812ff646548321ff,0.030307203167723500%,General Depositor/Borrower/Protocol User
0xd67f1a41ce71881933240b0efe7adbeca5c7c413,0.085626675314719800%,General Depositor/Borrower/Protocol User
0x73b843d33e0c82292a9931c8ca859b47a30020bb,0.022733869690770900%,General Depositor/Borrower/Protocol User
0xe173cc94d4755b72eb9196cf50dbcd2cba54e348,0.037423380403494600%,General Depositor/Borrower/Protocol User
0x8091d967f40a1a5492a867cbeaf553cc43a208c7,0.029491103351128600%,General Depositor/Borrower/Protocol User
0xa7e999cffe7e5c43eb1c20bac7c42b529f4f0031,0.021982072257717800%,General Depositor/Borrower/Protocol User
0x20cb010ff82f74e9d4971f5a8fcf0611e873ed20,0.040340352853418700%,General Depositor/Borrower/Protocol User
0x8a000a812f53c887cef2945ff06aaf00a5f694cd,0.029030348739459100%,General Depositor/Borrower/Protocol User
0x3accd6b184dc293a9201811e7afd4964f61f1d2e,0.025212519653780400%,General Depositor/Borrower/Protocol User
0x028269c1a9f8f0b8881e89d91fc64322e50a2f9a,0.036031297841295400%,General Depositor/Borrower/Protocol User
0xd63da94c6a7e8d15f8eed6d008815fd9e978cc1f,0.020979609378233900%,General Depositor/Borrower/Protocol User
0x5e6d2d8460cef37d109f1ed520d03dabcfbb32b2,0.072424208070578600%,General Depositor/Borrower/Protocol User
0xf467f1f46cad3f1041c765765be2891245144f6e,0.024277679201572300%,General Depositor/Borrower/Protocol User
0x9f88ce4eb5fbbdca7d911fa75c6f8fbd95d2bbbc,0.024138941826183300%,General Depositor/Borrower/Protocol User
0x958eb519904f3e65da1f93b03637c83794eda8c9,0.023897645353152600%,General Depositor/Borrower/Protocol User
0xe0d91a3e9266a25fafa978d29fdf692d5aa79bae,0.023882238172595500%,General Depositor/Borrower/Protocol User
0xca7cd4c133338df50398d576c8cae48be76399a2,0.034897092995654000%,General Depositor/Borrower/Protocol User
0xc0fd8ca88e6c6bc1938415132f29354e46bc0ab0,0.027330544337856600%,General Depositor/Borrower/Protocol User
0x5c98a04f663f32bb5e0778b1b9d8cb71cbdce3cb,0.023401969689006500%,General Depositor/Borrower/Protocol User
0xe66c0a8ff2358254749fa46ec762364b35a21af7,0.019428643487913500%,General Depositor/Borrower/Protocol User
0x3fa756e0b4afcc0f0bfd755281fedf82d92927bd,0.155995675938653000%,General Depositor/Borrower/Protocol User
0x28883a80c699c0e8edee3b85b53da66ccbf6d895,0.067006985836676700%,General Depositor/Borrower/Protocol User
0xfb2ad62d8ebc773000b8e088e02e2e5751dfb571,0.041022488571548200%,General Depositor/Borrower/Protocol User
0xfd172e95dc822f7ee434286b96c30459c8e709fb,0.026203526679066200%,General Depositor/Borrower/Protocol User
0x1609f039a96ce10756f5c6d403a80400dc081a02,0.018792509478291100%,General Depositor/Borrower/Protocol User
0x802d0e7eb5b261ff38f0c24dda93d472f44b3e18,0.022238818003153900%,General Depositor/Borrower/Protocol User
0xf5e2020ca6f22169e6c68a7165852dcc4d59178c,0.018542073892873700%,General Depositor/Borrower/Protocol User
0xfc13d0ec24846f833ecd6589ced3b0cf96b11d15,0.022041598701625500%,General Depositor/Borrower/Protocol User
0xcea555dfe7e28559a5c6059f7fd391d0cd502b1e,0.022002611318789200%,General Depositor/Borrower/Protocol User
0xe55c9840eb6ba1c75160ed611e3c72bc438dca54,0.017973555937659400%,General Depositor/Borrower/Protocol User
0x6ea0f22ec1c5411a84ccadc2a80d6574e9c7c71d,0.025280635634901900%,General Depositor/Borrower/Protocol User
0xe6b30a6ea22438e55d213ede9f4bb00f1c94ef93,0.039999957198737200%,General Depositor/Borrower/Protocol User
0x1064aa646a7aedbd40816fc0c35e044d0244a764,0.036279024562008400%,General Depositor/Borrower/Protocol User
0x5abdf1bdf263963601d3cc57d14723465d9fc505,0.032325138294849800%,General Depositor/Borrower/Protocol User
0x4f294e5dea9d3b1139960a8ba766908ed19fbd33,0.024824936638892500%,General Depositor/Borrower/Protocol User
0x61a0659018b581d4217244b71c5ac8c4621fa830,0.017292573289021400%,General Depositor/Borrower/Protocol User
0xc1a937a725583ca22353929c9c9ecdde3b0c70c2,0.020918601547409700%,General Depositor/Borrower/Protocol User
0xcaa74debeae8b73de8a894e16ceef7625c69c7ff,0.031815303292852300%,General Depositor/Borrower/Protocol User
0x97f09b2e437e1f9c38dd8a7ce71d31c2b5d8c5cd,0.060919990219183000%,General Depositor/Borrower/Protocol User
0xf3f8e99f6d1a54fff06f20c0c74b1602c9028116,0.020185542917478600%,General Depositor/Borrower/Protocol User
0x537e789ec3acb8905233c465d3b111e1ae2e6c5d,0.031258733081844200%,General Depositor/Borrower/Protocol User
0xda4ecf93f4ff9aa1f868a39c5520d29e1a9f07de,0.027533881199478800%,General Depositor/Borrower/Protocol User
0x0b7b9733203c22f5a4982787ced13c6fbcba7bc0,0.075420063132625700%,General Depositor/Borrower/Protocol User
0x8a9fed1578b9a4f7e48acd8c31439dba02181cdf,0.060455084480594900%,General Depositor/Borrower/Protocol User
0x20659912a8d10b8d387a55c42ed3a5e7a50d56ac,0.016123096143693400%,General Depositor/Borrower/Protocol User
0xa8d61173033dff6c0b65c7673da321d68c8d1080,0.034569233120882200%,General Depositor/Borrower/Protocol User
0xddc34e3745adb986a42392cebfa2c24f72e24d4a,0.041924310600349900%,General Depositor/Borrower/Protocol User
0x1169a721e2e2052ac3768ca3a6e120b745247097,0.023422208960558400%,General Depositor/Borrower/Protocol User
0x71deef167c63e8e2e47d91f02cb60659a6e755ea,0.019714288211238600%,General Depositor/Borrower/Protocol User
0x4e433e2515db1e3c29d99098f3cc8607fb8db54d,0.023309699673329000%,General Depositor/Borrower/Protocol User
0x9ffe669c32ced95a688f381ce85f82b71ad7bb73,0.037943673946442600%,General Depositor/Borrower/Protocol User
0x67eea7a2e81f7228c98ea6ddb3bd4c4849a55554,0.034230782342526600%,General Depositor/Borrower/Protocol User
0x73880c5f65a8c484658fdb71c1226888393ec669,0.015727352734047300%,General Depositor/Borrower/Protocol User
0x450ec0d160a0366850d928bd615dae53b36b55b3,0.034099454793207100%,General Depositor/Borrower/Protocol User
0x908058aa6e2dbe2b212bd2ce2cee40f4f8e9b1bc,0.026630608955488500%,General Depositor/Borrower/Protocol User
0x14ff0bc9417b6796f79768729002a793b51205b8,0.015430525796432300%,General Depositor/Borrower/Protocol User
0x07f524a34b224318637027c5e56b5483afd5e223,0.015397935313081600%,General Depositor/Borrower/Protocol User
0xd8eaa1e8fe9706bc4e487b4eb12300e3b4c8cb65,0.048629491355732800%,General Depositor/Borrower/Protocol User
0x624cbfd11cca0c463b4abdb2fc10a5498ec898b0,0.026382560521507200%,General Depositor/Borrower/Protocol User
0xf363efe360794148e500504e352b929b41a82e0a,0.015290801457720600%,General Depositor/Borrower/Protocol User
0x5855c640b4f6c86bbfe13dbf91b238046e93739f,0.015141181890783500%,General Depositor/Borrower/Protocol User
0xf50a26b83f42449dacf99280fcf1e61959e7bbe9,0.014998364214714800%,General Depositor/Borrower/Protocol User
