Address,Allocation,Type
0x5FE08FFF7af925e92B68B6B17c0f8457B90d1697,0.04659387%,product holder
0x614bB1F3e0Ae5A393979468ED89088F05277312c,0.04651287%,product holder
0xF5F54F94fE9E597e8b6A7924442f1B642F416b1b,0.04635763%,product holder
0x6F10719408d99d917f395efC2e2EC9136b873cEb,0.04634406%,product holder
0x6949a8837efF81e7fE03CC754f72884bb9BF0bed,0.04623951%,product holder
0x044a9c43e95AA9FD28EEa25131A62b602D304F1f,0.04584084%,product holder
0xA5273cE595351aBEf613A8787983F45b39c84Fd3,0.04569324%,product holder
0xa00B0540F43e00a634d016A31B0a39d95170e6BF,0.04552522%,product holder
0xf6D457a20Fa643240Fb65d65Fb8c2275d056De92,0.04518289%,product holder
0x0c3a4a0ed70fDB29860760b5ca78B116Fe77DE00,0.04490595%,product holder
0x7105A11973807108144521d139586FBfC612E081,0.04444113%,product holder
0xc7A53f76fB2b7f647e93010F368B8D4A1E34aDeC,0.04415238%,product holder
0xf958Bb5671f792A15ffd4f0cDb08CD0baF4850BC,0.04395387%,product holder
0x9702219A295801852357994DbfAEA84fcE3590Ca,0.04383260%,product holder
0x8E64D123e73D9e0F10517C56C0a9BF2bAb83040A,0.04356111%,product holder
0x645D66f587caCDC2879F59fa67730f5a529928D4,0.04305262%,product holder
0x4444ee1efBCfC7716754D4Df119A1dbbE29934b3,0.04300415%,product holder
0xD173700eb264DC4fB3C339a5FD87fCb1c50D70cA,0.04299009%,product holder
0x7366A29950149BC312d868053DD68fd1c83EF790,0.04297787%,product holder
0x5E530e6D7a7A33685C5E9f29be9cbe4E24975b7c,0.04277999%,product holder
0x4E8877DD69dFf31c32c15Bee6C73B438766edcA6,0.04255645%,product holder
0x75331eBbE0B00b97cAb532384F13c9B479F074eC,0.04223607%,product holder
0x8381e6D82F1afFd39a336e143E081EF7620A3B7f,0.04217926%,product holder
0x568D6B6F45f034A6736abbF2f7C3cf15E36F7Ae8,0.04188370%,product holder
0x98d8a43F0A40692606FadFe236d6a3BD235BfdE2,0.04172327%,product holder
0xB10C016fc0cda6c39164bc774059BbCCB1E20db9,0.04070453%,product holder
0x44F6CCf0D09Ef0d4991EB74D8c26d77a52a1Ba9e,0.04052308%,product holder
0x936c2a2128662C562663721eed63744336Ea0Ee0,0.04042913%,product holder
0xd9Da13DE745bfa50FFAAFD0a531B92f0511B72Cf,0.04023009%,product holder
0x09521E66B730dC489749c2D10C8a7328D967ab5A,0.04016438%,product holder
0xD27822B07095a533870bb35702100156A9576e56,0.04004630%,product holder
0x6916565B484efDD338bf5A967cca419094732463,0.04004404%,product holder
0x23B886AcEEb71458C96792ffd447352c277f820e,0.04002652%,product holder
0x8C98cF2A51941A43176dE843a7d0670FeE76c8F6,0.04002077%,product holder
0x2D876806411a36407350a626BF42D62c82b7D005,0.03996147%,product holder
0x87183726983d2355dfe7eFf9849B375f3201c525,0.03983081%,product holder
0x2779B18802900AA795Bd284F4aa10777B1109ba4,0.03977465%,product holder
0x07d6BB77118451425511744cABc92fb58ce9566e,0.03968282%,product holder
0x12f1412fECBf2767D10031f01D772d618594Ea28,0.03852467%,product holder
0x97F348fb698725793c4C9e33DbD681B42cC29AdA,0.03834550%,product holder
0x16D66B5Ac7398d2576f2710B85771C10829deC95,0.03830524%,product holder
0xF81C2eaDFA1F8b651BFD89eBA759F15b9aAE2484,0.03829402%,product holder
0x0b304924fAa64b0f040dcA67bC5175Dd6078db52,0.03827680%,product holder
0x9CE6E6B60C894d1DF9BC3D9D6cC969b79FB176B7,0.03821575%,product holder
0xBb53d3fDB99ADB815d7d2824d6A0B82396CF046d,0.03764102%,product holder
0xf80074De002177B50B8EAdB57F0c7FC278B4C3a4,0.03759237%,product holder
0x62963E0256A3CcF3B08f135dAEf0349271c5ce52,0.03756998%,product holder
0x99d0e096f28ed2452a0acAe78C6956de86E7388E,0.03756172%,product holder
0x4095f2b8DC6A18Ce295699B0aB6Ca16980881e48,0.03749876%,product holder
0xCA9b1DA46d0DbF0e3cbaAbb37D1Dd43e50b35258,0.03732889%,product holder
0x52AcE25BEbd64E1f3DEBF363194b8b3f038aAc26,0.03732768%,product holder
0xA5A65ce98B53f7ae4fC77415840E9F66D598FC8C,0.03719811%,product holder
0x677809657DCE13315B95649A480827EEbd39cA39,0.03693988%,product holder
0x83F3FE3b36A99d69b7b45eD834258DA2455BB1CC,0.03692736%,product holder
0x34A60C721a6566095DC2648E84a099fB7a7a6680,0.03665027%,product holder
0xD5b71Fa1E496D827f040912e02F7F6f47b5f1e7e,0.03623206%,product holder
0x4C09DD7c598b12c781C4B5d74D245a1784a2E148,0.03614128%,product holder
0x065612c177776f3C635dFf181eDf170F9C196a05,0.03611715%,product holder
0x57B834eeC943C4ddAa96A8B2E9fDe9De36140326,0.03605383%,product holder
0x4e4CF784E1B724BF5c086BBf2e71d6e71F3Ef652,0.03577107%,product holder
0xF7Dd91BBAa4f0CE1E45911E069DEE1019830A586,0.03553158%,product holder
0xf60b0A8e3da15abcb25dA0C0eBacF7df0f6B62ab,0.03551719%,product holder
0xa501677470278d37D21E304010B0Efbe1E3b9355,0.03544339%,product holder
0x4D0e3964c8dc728fDb2369544faC5C25392846d6,0.03525583%,product holder
0x372948AC1F957F570B84C4c4BB8a830157aF98e4,0.03521298%,product holder
0x657E21723aE99C05c9C2a6032343C7865Bcb1940,0.03520677%,product holder
0xeFc24206053a452e2299BF3b8f964512b041Db4C,0.03488325%,product holder
0x8530Ddd0508148C12595f3bCE669918ebe3B1432,0.03486951%,product holder
0x32f8c8b40b62A73D514E8bE0f58074eDBA533937,0.03478976%,product holder
0x550316de7d5683E2203619Faf999A9ad71f614fD,0.03478249%,product holder
0x2E0C7eB1Da51D3B2Bcf6D4a7722E044B92Da3F58,0.03467720%,product holder
